Initialized tsClusters debug log.

Data points: 
37	70	132	145	13	
145	149	168	18	54	
112	115	14	56	133	
104	14	50	101	110	
16	31	50	146	108	
37	142	145	68	16	
133	149	68	17	48	
110	92	19	48	142	
121	13	53	61	103	
16	45	110	131	82	
46	60	143	152	14	
60	148	79	13	30	
146	60	16	47	126	
140	16	30	139	131	
10	52	52	129	105	
36	65	128	68	19	
60	130	73	11	56	
147	57	12	39	60	
89	14	42	66	112	
18	35	115	124	103	
51	145	140	118	15	
68	141	56	19	51	
126	101	16	34	65	
76	13	31	83	115	
10	53	123	148	102	
44	94	120	27	10	
112	138	80	19	58	
146	99	14	57	68	
123	18	56	71	115	
19	46	52	104	55	
36	63	100	118	17	
136	112	43	19	58	
136	104	18	36	86	
78	17	43	132	119	
16	58	100	105	165	
44	86	106	79	14	
96	129	77	17	48	
133	140	17	32	74	
60	14	58	84	136	
19	37	86	124	126	
39	70	102	80	18	
76	112	134	18	45	
129	148	18	57	139	
107	16	39	148	106	
14	31	109	128	103	
31	95	140	96	12	
115	136	99	11	53	
148	36	10	59	112	
77	12	54	133	148	
11	47	57	141	98	
57	63	118	55	16	
81	101	164	18	32	
123	81	11	55	120	
120	18	37	146	115	
11	41	133	108	50	
36	98	133	84	11	
90	128	159	13	42	
139	37	16	43	61	
147	17	31	119	143	
14	33	84	112	148	
35	93	105	67	18	
63	101	76	14	41	
122	72	14	51	111	
142	11	49	74	132	
19	53	149	107	166	
52	62	147	173	18	
107	113	109	18	34	
120	119	17	58	138	
152	17	47	62	105	
19	30	50	144	70	
49	118	119	166	10	
69	141	85	19	55	
130	88	10	49	132	
92	13	47	121	128	
16	34	52	148	78	
37	79	103	35	11	
146	110	158	10	31	
143	76	14	59	76	
49	18	31	112	106	
17	56	106	148	90	
35	98	105	132	13	
110	113	38	13	51	
117	45	12	36	96	
34	19	45	88	149	
11	46	122	107	99	
32	146	101	171	18	
105	109	77	12	56	
148	59	18	48	86	
161	15	34	129	131	
14	40	76	148	41	
43	122	138	129	18	
55	135	100	18	36	
149	103	14	50	88	
111	16	49	99	103	
17	32	75	104	174	
36	100	133	151	12	
77	113	113	16	33	
149	171	19	49	101	
141	15	51	99	117	
14	44	137	118	66	
43	115	126	130	14	
137	112	136	13	40	
145	144	18	56	104	
120	10	41	109	128	
12	34	94	144	56	
40	68	112	111	11	
146	105	138	18	33	
103	164	11	34	105	
67	10	50	111	103	
10	55	57	112	129	
48	59	132	55	12	
83	136	63	16	32	
115	61	16	53	119	
157	19	56	144	108	
16	43	139	126	43	
30	126	112	37	10	
82	121	65	16	48	
125	30	13	43	122	
104	12	59	64	138	
11	49	146	123	48	
56	92	115	88	15	
71	133	77	16	50	
112	84	11	49	70	
150	14	49	103	120	
12	34	97	134	30	
55	65	127	81	18	
126	101	156	14	43	
134	78	17	43	54	
144	16	30	83	100	
15	53	139	128	157	
30	52	136	123	15	
77	115	137	18	32	
103	142	10	53	69	
98	14	49	147	133	
11	54	112	101	172	
59	92	134	71	10	
125	100	55	17	52	
101	57	10	58	132	
60	17	47	120	110	
13	53	114	121	28	
54	57	111	115	13	
100	117	136	16	48	
129	103	10	42	53	
40	17	48	145	146	
10	59	75	121	72	
58	85	129	62	17	
55	141	98	17	41	
114	168	16	59	53	
79	11	50	92	123	
19	59	55	121	36	
33	82	100	78	14	
113	129	46	18	47	
118	95	17	40	112	
53	17	47	104	103	
18	41	73	100	82	
32	137	122	80	16	
64	117	73	16	35	
127	145	19	54	66	
47	16	44	87	127	
13	50	121	140	123	
38	112	137	40	18	
93	119	168	19	40	
135	49	14	48	61	
36	12	47	75	116	
12	46	85	133	61	
47	56	130	156	12	
129	103	70	17	39	
103	80	16	45	126	
104	13	50	60	139	
18	40	122	120	44	
30	53	118	112	13	
102	127	55	18	38	
135	68	15	54	138	
32	12	42	50	120	
16	56	63	102	85	
44	123	122	70	12	
91	113	61	10	32	
137	114	11	48	61	
139	11	38	94	139	
12	35	98	111	131	
56	126	133	26	11	
140	133	50	13	58	
111	40	13	33	127	
114	15	38	81	104	
13	38	61	139	159	
57	110	119	101	16	
73	135	109	12	48	
113	84	15	54	60	
61	15	55	65	102	
16	40	123	110	84	
37	140	109	170	15	
89	128	58	13	37	
123	64	15	51	92	
160	18	39	92	116	
11	32	85	120	34	
30	73	127	125	14	
84	111	58	19	47	
134	85	16	41	51	
68	15	55	121	129	
13	33	139	125	172	
41	53	114	172	18	
115	104	134	16	57	
131	58	13	39	107	
85	10	43	76	122	
19	31	116	121	113	
54	109	105	74	17	
68	127	72	18	50	
148	57	12	40	80	
